source,title,company,location,posted,job_type,remote,salary,job_link,company_link,skills,match_score,matched_skills,missing_skills,why_recommended
Global,"Staff Embedded Software Engineer, Machine Learning",Qualcomm,Toronto,2026-05-02,Job type not listed,Remote status not listed,"CAD 131,200 - 181,200 / yearly",https://www.glassdoor.ca/job-listing/j?jl=1010121500731,www.qualcomm.com,,55,"Machine Learning, Pytorch","Linux, Tensorflow","This role is recommended because your resume shows alignment with Machine Learning, Pytorch."
Global,ML Engineer,Equinix,Toronto,2026-04-29,Job type not listed,Remote status not listed,"CAD 88,000 - 132,000 / yearly",https://www.glassdoor.ca/job-listing/j?jl=1010117331280,https://www.equinix.com,,55,"Api, Llm, Machine Learning","Data Science, Git, Rag","This role is recommended because your resume shows alignment with Api, Llm, Machine Learning."
Global,Quantum Machine Learning Research Scientist,CIBC,Toronto,2026-04-28,Job type not listed,Remote status not listed,"CAD 93,000 - 98,000 / yearly",https://www.glassdoor.ca/job-listing/j?jl=1010116162628,http://www.cibc.com,,66,"Data Analysis, Deep Learning, Machine Learning, Python, Pytorch, Sql","Generative Ai, Nlp, Rag","This role is recommended because your resume shows alignment with Data Analysis, Deep Learning, Machine Learning, Python."
Global,Research Machine Learning Scientist II,TD Bank,Toronto,2026-05-02,Job type not listed,Remote status not listed,"CAD 150,000 - 190,000 / yearly",https://www.glassdoor.ca/job-listing/j?jl=1010121369895,https://www.td.com,,70,"Aws, Cloud, Deep Learning, Machine Learning, Pytorch, Spark, Sql","Azure, Rag, Tensorflow","This role is recommended because your resume shows alignment with Aws, Cloud, Deep Learning, Machine Learning."
Global,"Analyst, Sustainability & Climate Data",Manulife,Canada,2026-04-29,Job type not listed,Remote status not listed,"CAD 62,850 - 104,750 / yearly",https://www.glassdoor.ca/job-listing/j?jl=1010116602068,www.manulife.com,,60,"Api, Aws, Data Pipeline","Excel, Rag","This role is recommended because your resume shows alignment with Api, Aws, Data Pipeline."
Global,AI/ML Engineering Internship,Synopsys,Canada,2026-05-02,Job type not listed,Remote status not listed,Salary not listed,https://www.glassdoor.ca/job-listing/j?jl=1010121779584,https://www.synopsys.com/,,60,"Api, Aws, Data Analysis, Machine Learning, Python, Spark","Excel, Generative Ai, Numpy, Pandas","This role is recommended because your resume shows alignment with Api, Aws, Data Analysis, Machine Learning."
Global,software engineer,Focal Point NDE Technologies,Toronto,2026-04-30,Job type not listed,Remote status not listed,"CAD 80,000 - 110,000 / yearly",https://www.glassdoor.ca/job-listing/j?jl=1010117521824,#,,75,"Machine Learning, Python, Sql",Git,"This role is recommended because your resume shows alignment with Machine Learning, Python, Sql."
Global,AI and Application Development Engineer - Assistant Vice President,Citi,Canada,2026-04-28,Job type not listed,Remote status not listed,"CAD 94,300 - 141,500 / yearly",https://www.glassdoor.ca/job-listing/j?jl=1010114960537,www.citigroup.com,,55,Aws,"Git, Mongodb, Rag",This role is recommended because your resume shows alignment with Aws.
Global,Senior Manager Technical Program Management,Zebra Technologies,Mississauga,2026-05-01,Job type not listed,Remote status not listed,"CAD 140,240 - 190,240 / yearly",https://www.glassdoor.ca/job-listing/j?jl=1010121043584,https://www.zebra.com,,55,"Aws, Cloud","Excel, Git, Rag","This role is recommended because your resume shows alignment with Aws, Cloud."
Global,Data Scientist,Canadian Tire Corporation,"Toronto, Ontario, Canada","May 01, 2026",fulltime,Remote status not listed,Salary not listed,https://www.linkedin.com/jobs/view/4387474032,https://ca.linkedin.com/company/canadian-tire,,60,"Airflow, Cloud, Docker, Machine Learning, Python, Sql","Azure, Data Science, Gcp, Rag","This role is recommended because your resume shows alignment with Airflow, Cloud, Docker, Machine Learning."
